input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
ANDREA ROSSI,595.0,Andrea ROSSI,1.0,https://utmb.world/runner/629861.andrea.rossi,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GIANLUCA BASTIANELLO,595.0,Gianluca BASTIANELLO,1.0,https://utmb.world/runner/2193851.gianluca.bastianello,,,,,,,,,595.0,ITRA skipped because UTMB 595.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
FEDERICO FORTUNA,594.0,Federico FORTUNA,1.0,https://utmb.world/runner/8002404.federico.fortuna,,,,,,,,,594.0,ITRA skipped because UTMB 594.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
LUCA MARCONI,591.0,Luca MARCONI,1.0,https://utmb.world/runner/60104.luca.marconi,,,,,,,,,591.0,ITRA skipped because UTMB 591.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
NICOLA SETTIN,590.0,Nicola SETTIN,1.0,https://utmb.world/runner/6116546.nicola.settin,,,,,,,,,590.0,ITRA skipped because UTMB 590.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
SEVERINO ZIGLIANI,587.0,Severino ZIGLIANI,1.0,https://utmb.world/runner/7843861.severino.zigliani,,,,,,,,,587.0,ITRA skipped because UTMB 587.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
PAOLO MORELETTI,586.0,Paolo MORELETTI,1.0,https://utmb.world/runner/4316286.paolo.moreletti,,,,,,,,,586.0,ITRA skipped because UTMB 586.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MAURO DONEDA,586.0,Mauro DONEDA,1.0,https://utmb.world/runner/679023.mauro.doneda,,,,,,,,,586.0,ITRA skipped because UTMB 586.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
LUCA SALVATI,585.0,Luca SALVATI,1.0,https://utmb.world/runner/5014066.luca.salvati,,,,,,,,,585.0,ITRA skipped because UTMB 585.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MIRCO BERTONI,583.0,Mirco BERTONI,1.0,https://utmb.world/runner/6938220.mirco.bertoni,,,,,,,,,583.0,ITRA skipped because UTMB 583.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MANUELE REDAELLI,582.0,Manuele REDAELLI,1.0,https://utmb.world/runner/2144103.manuele.redaelli,,,,,,,,,582.0,ITRA skipped because UTMB 582.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
DARIO COLOMBO,582.0,Dario COLOMBO,1.0,https://utmb.world/runner/2114535.dario.colombo,,,,,,,,,582.0,ITRA skipped because UTMB 582.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Damian Dosch,580.0,Damian DOSCH,1.0,https://utmb.world/runner/294132.damian.dosch,,,,,,,,,580.0,ITRA skipped because UTMB 580.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
FEDERICO ZANIN,578.0,Federico ZANIN,1.0,https://utmb.world/runner/588399.federico.zanin,,,,,,,,,578.0,ITRA skipped because UTMB 578.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ADAM RYDE,578.0,Adam RYDER,1.0,https://utmb.world/runner/5082787.adam.ryder,,,,,,,,,578.0,ITRA skipped because UTMB 578.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
STEFANO SGUBBI,577.0,Stefano SGUBBI,1.0,https://utmb.world/runner/3345205.stefano.sgubbi,,,,,,,,,577.0,ITRA skipped because UTMB 577.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARIE-SOPHIE REISER,575.0,Marie-Sophie REISER,1.0,https://utmb.world/runner/4462168.mariesophie.reiser,,,,,,,,,575.0,ITRA skipped because UTMB 575.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ALESSIO STEFANI,573.0,Alessio STEFANI,1.0,https://utmb.world/runner/5784984.alessio.stefani,,,,,,,,,573.0,ITRA skipped because UTMB 573.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARCO BOMBIERI,572.0,Marco BOMBIERI,1.0,https://utmb.world/runner/5666250.marco.bombieri,,,,,,,,,572.0,ITRA skipped because UTMB 572.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ALEX FERRARI,571.0,Alex FERRARI,1.0,https://utmb.world/runner/4933610.alex.ferrari,,,,,,,,,571.0,ITRA skipped because UTMB 571.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
RICCARDO SALUCCI,569.0,Riccardo SALUCCI,1.0,https://utmb.world/runner/8478976.riccardo.salucci,,,,,,,,,569.0,ITRA skipped because UTMB 569.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
ROBERTO PARIS,569.0,Roberto PARIS,1.0,https://utmb.world/runner/4709010.roberto.paris,,,,,,,,,569.0,ITRA skipped because UTMB 569.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Julia Rieger,569.0,Julia RIEGER,1.0,https://utmb.world/runner/4226484.julia.rieger,,,,,,,,,569.0,ITRA skipped because UTMB 569.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
PIERGIOVANNI STEFANI,568.0,Piergiovanni STEFANI,1.0,https://utmb.world/runner/1583715.piergiovanni.stefani,,,,,,,,,568.0,ITRA skipped because UTMB 568.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTEO MUNARI,567.0,Matteo MUNARI,1.0,https://utmb.world/runner/1524281.matteo.munari,,,,,,,,,567.0,ITRA skipped because UTMB 567.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Niccolò Del Panta,567.0,Niccolò DEL PANTA,1.0,https://utmb.world/runner/1999551.niccolo.delpanta,,,,,,,,,567.0,ITRA skipped because UTMB 567.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GIANLUCA GODANO,566.0,Gianluca GODANO,1.0,https://utmb.world/runner/4704262.gianluca.godano,,,,,,,,,566.0,ITRA skipped because UTMB 566.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
IVANO ROSSINI,563.0,Ivano ROSSINI,1.0,https://utmb.world/runner/880383.ivano.rossini,,,,,,,,,563.0,ITRA skipped because UTMB 563.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTIA BUELLI,562.0,Mattia BUELLI,1.0,https://utmb.world/runner/7445898.mattia.buelli,,,,,,,,,562.0,ITRA skipped because UTMB 562.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
AMEDEO BERTASO,562.0,Amedeo BERTASO,1.0,https://utmb.world/runner/5493718.amedeo.bertaso,,,,,,,,,562.0,ITRA skipped because UTMB 562.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
DAVIDE MARIA BELOTTI,562.0,Davide Maria BELOTTI,1.0,https://utmb.world/runner/81655.davidemaria.belotti,,,,,,,,,562.0,ITRA skipped because UTMB 562.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GIANLUCA GIACOMINI,561.0,Gianluca GIACOMINI,1.0,https://utmb.world/runner/527772.gianluca.giacomini,,,,,,,,,561.0,ITRA skipped because UTMB 561.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTEO BOVO,560.0,Matteo BOVO,1.0,https://utmb.world/runner/6539878.matteo.bovo,,,,,,,,,560.0,ITRA skipped because UTMB 560.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
DAVIDE ZAMBELLI,559.0,Davide ZAMBELLI,1.0,https://utmb.world/runner/7478878.davide.zambelli,,,,,,,,,559.0,ITRA skipped because UTMB 559.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTEO ZANDONAI,559.0,Matteo ZANDONAI,1.0,https://utmb.world/runner/6116572.matteo.zandonai,,,,,,,,,559.0,ITRA skipped because UTMB 559.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GIOVANNI GADDO,558.0,Giovanni GADDO,1.0,https://utmb.world/runner/4536790.giovanni.gaddo,,,,,,,,,558.0,ITRA skipped because UTMB 558.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARCO GAGGIOTTI,558.0,Marco GAGGIOTTI,1.0,https://utmb.world/runner/3319237.marco.gaggiotti,,,,,,,,,558.0,ITRA skipped because UTMB 558.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
PAOLO PEDROTTI,557.0,Paolo PEDROTTI,1.0,https://utmb.world/runner/7336804.paolo.pedrotti,,,,,,,,,557.0,ITRA skipped because UTMB 557.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
PAOLO BALDESSARINI,556.0,Paolo BALDESSARINI,1.0,https://utmb.world/runner/880441.paolo.baldessarini,,,,,,,,,556.0,ITRA skipped because UTMB 556.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
STEFANO MASCIADRI,555.0,Stefano MASCIADRI,1.0,https://utmb.world/runner/117528.stefano.masciadri,,,,,,,,,555.0,ITRA skipped because UTMB 555.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
SEVERINO MARIOTTI,555.0,Severino MARIOTTI,1.0,https://utmb.world/runner/3751741.severino.mariotti,,,,,,,,,555.0,ITRA skipped because UTMB 555.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MATTIA POLESE,554.0,Mattia POLESE,1.0,https://utmb.world/runner/4516056.mattia.polese,,,,,,,,,554.0,ITRA skipped because UTMB 554.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
