input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
Ludovic Liebert,413.0,Ludovic LIEBERT,1.0,https://utmb.world/runner/7766296.ludovic.liebert,,,,,413.0,ITRA skipped because UTMB 413.0 <= threshold 680.0
Anais BOUTHEMY,412.0,Anaïs BOUTHÉMY,1.0,https://utmb.world/runner/6847328.anais.bouthemy,,,,,412.0,ITRA skipped because UTMB 412.0 <= threshold 680.0
Victor Teta,411.0,Victor TETA,1.0,https://utmb.world/runner/7045544.victor.teta,,,,,411.0,ITRA skipped because UTMB 411.0 <= threshold 680.0
camille michel,410.0,Camille MICHEL,1.0,https://utmb.world/runner/7512728.camille.michel,,,,,410.0,ITRA skipped because UTMB 410.0 <= threshold 680.0
NICOLAS MINET,410.0,Nicolas MINET,1.0,https://utmb.world/runner/7806184.nicolas.minet,,,,,410.0,ITRA skipped because UTMB 410.0 <= threshold 680.0
elodie PIERRON,409.0,Elodie PIERRON,1.0,https://utmb.world/runner/7646430.elodie.pierron,,,,,409.0,ITRA skipped because UTMB 409.0 <= threshold 680.0
Kevin Kuang,407.0,Kevin KUANG,1.0,https://utmb.world/runner/7455690.kevin.kuang,,,,,407.0,ITRA skipped because UTMB 407.0 <= threshold 680.0
john falkman,407.0,John FALKMAN,1.0,https://utmb.world/runner/5367784.john.falkman,,,,,407.0,ITRA skipped because UTMB 407.0 <= threshold 680.0
Pierre olivier Grislain,407.0,Pierre Olivier GRISLAIN,1.0,https://utmb.world/runner/7760768.pierreolivier.grislain,,,,,407.0,ITRA skipped because UTMB 407.0 <= threshold 680.0
Alexis CARRA,406.0,Alexis CARRA,1.0,https://utmb.world/runner/6636816.alexis.carra,,,,,406.0,ITRA skipped because UTMB 406.0 <= threshold 680.0
